,Unnamed: 0,Title,Year_x,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,Rank,Game,Month,Year_y,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio
83,963,the witness,2016,"Thekla,Inc",Miscellaneous;Puzzle;General;General;Puzzle;Puzzle;Adventure;3D;First-Person,PC,87,6.9,No Online Multiplayer,185,the witness,2,2017,160395,4191 hours,22596,22,840,239,6,38.27
84,986,dead space 2,2011,VisceralGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,87,8.4,not specified,194,dead space 2,2,2020,349800,2621 hours,4907,14,569,503,3,133.46
85,1016,divinity original sin,2014,LarianStudios,Action RPG;Role-Playing;Action RPG;Western-Style,PC,87,8.7,2 ,119,divinity original sin,9,2017,343991,6984 hours,14239,29,1132,478,9,49.25
86,1024,gears of war,2007,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,87,7.7,8  Online,169,gears of war,9,2016,116416,15868 hours,1193,58,3278,161,22,7.34
87,1036,inside,2016,PLAYDEAD,Action;Platformer;2D,PC,87,8.6,No Online Multiplayer,46,inside,7,2016,1006447,13111 hours,37950,126,4040,1354,17,76.76
88,1038,europa universalis 4,2013,ParadoxDevelopmentStudio,Strategy;Real-Time;Historic;General;Historic,PC,87,8.7,Online Multiplayer,195,europa universalis 4,8,2020,518345,13757 hours,5298,47,924,697,18,37.68
89,1052,total war warhammer 2,2017,CreativeAssembly,Strategy;Real-Time;Tactics,PC,87,7.5,not specified,184,total war warhammer 2,2,2021,696858,26740 hours,7815,83,2318,1038,39,26.06
90,1054,hex shards of fate,2016,"CryptozoicEntertainment,HexEntertainment",Miscellaneous;Card Battle;Strategy;Turn-Based;Card Battle,PC,87,6.4,Online Multiplayer,194,hex shards of fate,9,2016,96833,2281 hours,1660,18,148,134,3,42.45
91,1078,forza horizon 3,2016,PlaygroundGames,Racing;Simulation;Automobile,PC,86,6.8,not specified,117,forza horizon 3,5,2017,312932,23571 hours,43679,214,6696,421,31,13.28
92,1103,final fantasy xiv heavensward,2015,SquareEnix,Massively Multiplayer Online;Fantasy;Role-Playing;Massively Multiplayer,PC,86,7.7,not specified,95,final fantasy xiv heavensward,5,2017,450588,34569 hours,6122,173,6501,606,46,13.03
93,1108,the witcher,2008,CDProjektRedStudio,Role-Playing;Action RPG;Action RPG,PC,86,8.5,No Online Multiplayer,112,the witcher,1,2020,753880,27384 hours,28729,112,3708,1014,36,27.53
94,2946,the witcher,2007,CDProjektRedStudio,Role-Playing;Action RPG;Action RPG,PC,81,8.8,No Online Multiplayer,112,the witcher,1,2020,753880,27384 hours,28729,112,3708,1014,36,27.53
